,bef,aft,id_OTU
uniq4958,OTU_bef44,OTU_aft42,True
uniq4959,OTU_bef22,OTU_aft22,True
uniq496,OTU_bef28,OTU_aft28,True
uniq4960,OTU_bef26,OTU_aft26,True
uniq4961,OTU_bef2685,,False
uniq4962,OTU_bef55,OTU_aft53,True
uniq4963,OTU_bef22,OTU_aft22,True
uniq4964,OTU_bef5,OTU_aft5,True
uniq4965,OTU_bef4,OTU_aft4,True
uniq4966,OTU_bef81,OTU_aft76,True
uniq4967,OTU_bef71,OTU_aft68,True
uniq4968,OTU_bef2,OTU_aft2,True
uniq4969,OTU_bef697,OTU_aft14,False
uniq497,OTU_bef23,OTU_aft23,True
uniq4970,OTU_bef322,OTU_aft182,False
uniq4971,OTU_bef26,OTU_aft26,True
uniq4972,OTU_bef19,OTU_aft19,True
uniq4973,OTU_bef38,OTU_aft36,True
uniq4974,OTU_bef55,OTU_aft53,True
uniq4975,OTU_bef25,OTU_aft25,True
uniq4976,OTU_bef7,OTU_aft7,True
uniq4977,OTU_bef55,OTU_aft53,True
uniq4978,OTU_bef21,OTU_aft21,True
uniq4979,OTU_bef55,OTU_aft53,True
uniq498,OTU_bef2,OTU_aft2,True
uniq4980,OTU_bef5,OTU_aft5,True
uniq4981,OTU_bef2686,,False
uniq4982,OTU_bef19,OTU_aft19,True
uniq4983,OTU_bef22,OTU_aft22,True
uniq4984,OTU_bef412,OTU_aft53,False
uniq4985,OTU_bef323,,False
uniq4986,OTU_bef13,OTU_aft13,True
uniq4987,OTU_bef22,OTU_aft22,True
uniq4988,OTU_bef22,OTU_aft22,True
uniq4989,OTU_bef19,OTU_aft19,True
uniq499,OTU_bef734,OTU_aft53,False
uniq4990,OTU_bef25,OTU_aft25,True
uniq4991,OTU_bef15,OTU_aft15,True
uniq4992,OTU_bef55,OTU_aft53,True
uniq4993,OTU_bef19,OTU_aft19,True
uniq4994,OTU_bef14,OTU_aft14,True
uniq4995,OTU_bef55,OTU_aft53,True
uniq4996,OTU_bef45,OTU_aft43,True
uniq4997,OTU_bef21,OTU_aft21,True
uniq4998,OTU_bef69,OTU_aft66,True
uniq4999,OTU_bef751,OTU_aft53,False
uniq5,OTU_bef5,OTU_aft5,True
uniq50,OTU_bef45,OTU_aft43,True
uniq500,OTU_bef19,OTU_aft19,True
uniq5000,OTU_bef16,OTU_aft16,True
uniq5001,OTU_bef16,OTU_aft16,True
uniq5002,OTU_bef4,OTU_aft4,True
uniq5003,OTU_bef16,OTU_aft16,True
uniq5004,OTU_bef19,OTU_aft19,True
uniq5005,OTU_bef4,OTU_aft4,True
uniq5006,OTU_bef25,OTU_aft25,True
uniq5007,OTU_bef22,OTU_aft22,True
uniq5008,OTU_bef725,OTU_aft26,False
uniq5009,OTU_bef55,OTU_aft53,True
uniq501,OTU_bef5,OTU_aft5,True
uniq5010,OTU_bef19,OTU_aft19,True
uniq5011,OTU_bef55,OTU_aft53,True
uniq5012,OTU_bef21,OTU_aft21,True
uniq5013,OTU_bef5,OTU_aft5,True
uniq5014,OTU_bef25,OTU_aft25,True
uniq5015,OTU_bef107,,False
uniq5016,OTU_bef4,OTU_aft4,True
uniq5017,OTU_bef55,OTU_aft53,True
uniq5018,OTU_bef65,OTU_aft62,True
uniq5019,OTU_bef49,OTU_aft47,True
uniq502,OTU_bef153,OTU_aft128,True
uniq5020,OTU_bef66,OTU_aft63,True
uniq5021,OTU_bef2687,,False
uniq5022,OTU_bef26,OTU_aft26,True
uniq5023,OTU_bef5,OTU_aft5,True
uniq5024,OTU_bef7,OTU_aft7,True
uniq5025,OTU_bef7,OTU_aft7,True
uniq5026,OTU_bef7,OTU_aft7,True
uniq5027,OTU_bef13,OTU_aft13,True
uniq5028,OTU_bef55,OTU_aft53,True
uniq5029,OTU_bef5,OTU_aft5,True
uniq503,OTU_bef219,,False
uniq5030,OTU_bef2688,,False
uniq5031,OTU_bef22,OTU_aft22,True
uniq5032,OTU_bef4,OTU_aft4,True
uniq5033,OTU_bef16,OTU_aft16,True
uniq5034,OTU_bef25,OTU_aft25,True
uniq5035,OTU_bef4,OTU_aft4,True
uniq5036,OTU_bef76,,False
uniq5037,OTU_bef22,OTU_aft22,True
uniq5038,OTU_bef55,OTU_aft53,True
uniq5039,OTU_bef65,OTU_aft62,True
uniq504,OTU_bef55,OTU_aft53,True
uniq5040,OTU_bef49,OTU_aft47,True
uniq5041,OTU_bef2689,,False
uniq5042,OTU_bef25,OTU_aft25,True
uniq5043,OTU_bef83,OTU_aft78,True
uniq5044,OTU_bef26,OTU_aft26,True
uniq5045,OTU_bef95,OTU_aft88,True
uniq5046,OTU_bef55,OTU_aft53,True
uniq5047,OTU_bef26,OTU_aft26,True
uniq5048,OTU_bef70,OTU_aft67,True
uniq5049,OTU_bef416,OTU_aft50,False
uniq505,OTU_bef7,OTU_aft7,True
uniq5050,OTU_bef114,OTU_aft103,True
uniq5051,OTU_bef38,OTU_aft36,True
uniq5052,OTU_bef100,OTU_aft92,True
uniq5053,OTU_bef81,OTU_aft76,True
uniq5054,OTU_bef70,OTU_aft67,True
uniq5055,OTU_bef4,OTU_aft4,True
uniq5056,OTU_bef81,OTU_aft76,True
uniq5057,OTU_bef27,OTU_aft27,True
uniq5058,OTU_bef4,OTU_aft4,True
uniq5059,OTU_bef44,OTU_aft42,True
uniq506,OTU_bef4,OTU_aft4,True
uniq5060,OTU_bef83,OTU_aft78,True
uniq5061,OTU_bef880,,False
uniq5062,OTU_bef13,OTU_aft13,True
uniq5063,OTU_bef86,OTU_aft79,True
uniq5064,OTU_bef16,OTU_aft16,True
uniq5065,OTU_bef55,OTU_aft53,True
uniq5066,OTU_bef55,OTU_aft53,True
uniq5067,OTU_bef4,OTU_aft4,True
uniq5068,OTU_bef54,OTU_aft52,True
uniq5069,OTU_bef27,OTU_aft27,True
uniq507,OTU_bef2,OTU_aft2,True
uniq5070,OTU_bef67,OTU_aft64,True
uniq5071,OTU_bef55,OTU_aft53,True
uniq5072,OTU_bef408,,False
uniq5073,OTU_bef7,OTU_aft7,True
uniq5074,OTU_bef19,OTU_aft19,True
uniq5075,OTU_bef13,OTU_aft13,True
uniq5076,OTU_bef22,OTU_aft22,True
uniq5077,OTU_bef13,OTU_aft13,True
uniq5078,OTU_bef7,OTU_aft7,True
uniq5079,OTU_bef328,,False
uniq508,OTU_bef4,OTU_aft4,True
uniq5080,OTU_bef4,OTU_aft4,True
uniq5081,OTU_bef45,OTU_aft43,True
uniq5082,OTU_bef19,OTU_aft19,True
uniq5083,OTU_bef18,OTU_aft18,True
uniq5084,OTU_bef95,OTU_aft88,True
uniq5085,OTU_bef72,OTU_aft69,True
uniq5086,OTU_bef21,OTU_aft21,True
uniq5087,OTU_bef52,OTU_aft50,True
uniq5088,OTU_bef14,OTU_aft14,True
uniq5089,OTU_bef55,OTU_aft53,True
uniq509,OTU_bef220,OTU_aft167,True
uniq5090,OTU_bef55,OTU_aft53,True
uniq5091,OTU_bef55,OTU_aft53,True
uniq5092,OTU_bef71,OTU_aft68,True
uniq5093,OTU_bef735,OTU_aft42,False
uniq5094,OTU_bef55,OTU_aft53,True
uniq5095,OTU_bef4,OTU_aft4,True
uniq5096,OTU_bef18,OTU_aft18,True
uniq5097,OTU_bef135,OTU_aft116,True
uniq5098,OTU_bef5,OTU_aft5,True
uniq5099,OTU_bef21,OTU_aft21,True
uniq51,OTU_bef1,OTU_aft1,True
uniq510,OTU_bef19,OTU_aft19,True
uniq5100,OTU_bef92,OTU_aft85,True
uniq5101,OTU_bef55,OTU_aft53,True
uniq5102,OTU_bef18,OTU_aft18,True
uniq5103,OTU_bef25,OTU_aft25,True
uniq5104,OTU_bef694,,False
uniq5105,OTU_bef18,OTU_aft18,True
uniq5106,OTU_bef71,OTU_aft68,True
uniq5107,OTU_bef13,OTU_aft13,True
uniq5108,OTU_bef886,OTU_aft42,False
uniq5109,OTU_bef4,OTU_aft4,True
uniq511,OTU_bef55,OTU_aft53,True
uniq5110,OTU_bef4,OTU_aft4,True
uniq5111,OTU_bef14,OTU_aft14,True
