,reads,uniqs,uniqs_in_bef_OTU,bef_OTU,uniqs_in_aft_OTU,aft_OTU,Got_a_OTU,Got_both,Got_nor,master_OTU
RNBC1_QLMSP4_tag11_H7,723,106,106,11,59,9,106,59,0,14
RNBC1_QLMSP4_tag11_H8,1458,343,343,7,343,7,343,343,0,7
RNBC1_QLMSP4_tag11_H9,2886,326,326,14,302,7,326,302,0,14
RNBC1_QLMSP5_tag03_A10,637,62,62,6,59,3,62,59,0,6
RNBC1_QLMSP5_tag03_A12,742,62,62,4,60,2,62,60,0,4
RNBC1_QLMSP5_tag03_A1,155,8,8,3,7,2,8,7,0,3
RNBC1_QLMSP5_tag03_A3,32,25,25,7,6,1,25,6,0,7
RNBC1_QLMSP5_tag03_A6,1454,126,126,4,126,4,126,126,0,4
RNBC1_QLMSP5_tag03_A5,1,1,1,1,1,1,1,1,0,1
RNBC1_QLMSP5_tag03_A7,44,7,7,5,4,2,7,4,0,5
RNBC1_QLMSP5_tag03_A9,34,5,5,3,3,1,5,3,0,3
RNBC1_QLMSP5_tag03_B10,440,58,58,5,54,2,58,54,0,5
RNBC1_QLMSP5_tag03_B11,500,29,29,1,29,1,29,29,0,1
RNBC1_QLMSP5_tag03_B12,138,15,15,4,12,2,15,12,0,4
RNBC1_QLMSP5_tag03_B1,28,7,7,6,5,4,7,5,0,7
RNBC1_QLMSP5_tag03_B3,519,38,38,10,8,4,38,8,0,11
RNBC1_QLMSP5_tag03_B5,186,14,14,3,13,2,14,13,0,3
RNBC1_QLMSP5_tag03_B6,234,16,16,6,12,3,16,12,0,6
RNBC1_QLMSP5_tag03_B7,1089,123,123,1,123,1,123,123,0,1
RNBC1_QLMSP5_tag03_B8,209,118,118,5,108,3,118,108,0,5
RNBC1_QLMSP5_tag03_B9,348,37,37,3,35,1,37,35,0,3
RNBC1_QLMSP5_tag03_C10,1565,171,171,6,165,3,171,165,0,6
RNBC1_QLMSP5_tag03_C12,392,59,59,5,56,2,59,56,0,5
RNBC1_QLMSP5_tag03_C1,482,40,40,2,40,2,40,40,0,2
RNBC1_QLMSP5_tag03_C2,625,54,54,6,51,3,54,51,0,6
RNBC1_QLMSP5_tag03_C3,427,63,63,5,58,2,63,58,0,5
RNBC1_QLMSP5_tag03_C4,172,33,33,2,33,2,33,33,0,2
RNBC1_QLMSP5_tag03_C5,461,114,114,2,114,2,114,114,0,2
RNBC1_QLMSP5_tag03_C6,493,39,39,3,39,3,39,39,0,3
RNBC1_QLMSP5_tag03_C7,105,12,12,5,10,3,12,10,0,6
RNBC1_QLMSP5_tag03_C8,14,5,5,2,5,2,5,5,0,2
RNBC1_QLMSP5_tag03_C9,582,63,63,4,62,3,63,62,0,4
RNBC1_QLMSP5_tag03_D10,5,2,2,2,1,1,2,1,0,2
RNBC1_QLMSP5_tag03_D11,472,50,50,1,50,1,50,50,0,1
RNBC1_QLMSP5_tag03_D12,173,35,35,11,11,4,35,11,0,11
RNBC1_QLMSP5_tag03_D1,294,27,27,5,25,3,27,25,0,5
RNBC1_QLMSP5_tag03_D2,349,30,30,4,27,1,30,27,0,4
RNBC1_QLMSP5_tag03_D3,148,7,7,3,5,1,7,5,0,3
RNBC1_QLMSP5_tag03_D4,332,33,33,6,28,1,33,28,0,6
RNBC1_QLMSP5_tag03_D5,781,102,102,8,86,2,102,86,0,8
RNBC1_QLMSP5_tag03_D6,763,78,78,3,76,1,78,76,0,3
RNBC1_QLMSP5_tag03_D7,704,142,142,1,142,1,142,142,0,1
RNBC1_QLMSP5_tag03_D8,149,13,13,3,12,2,13,12,0,3
RNBC1_QLMSP5_tag03_D9,78,10,10,6,5,3,10,5,0,6
RNBC1_QLMSP5_tag03_E10,192,17,17,8,10,1,17,10,0,8
RNBC1_QLMSP5_tag03_E11,283,45,45,8,42,5,45,42,0,8
RNBC1_QLMSP5_tag03_E12,159,14,14,5,12,3,14,12,0,5
RNBC1_QLMSP5_tag03_E1,339,23,23,2,22,1,23,22,0,2
RNBC1_QLMSP5_tag03_E2,86,48,48,7,41,3,48,41,0,7
RNBC1_QLMSP5_tag03_E3,173,112,112,28,83,6,112,83,0,28
RNBC1_QLMSP5_tag03_E4,61,15,15,2,14,1,15,14,0,2
RNBC1_QLMSP5_tag03_E5,390,31,31,3,30,2,31,30,0,3
RNBC1_QLMSP5_tag03_E6,213,25,25,3,24,2,25,24,0,3
RNBC1_QLMSP5_tag03_E7,215,19,19,3,18,2,19,18,0,3
RNBC1_QLMSP5_tag03_E9,384,90,90,1,90,1,90,90,0,1
