RNBC1_NREP10_tag35_A10,Miseq
RNBC1_NREP10_tag35_A11,Miseq
RNBC1_NREP10_tag35_A12,Miseq
RNBC1_NREP10_tag35_A1,Miseq
RNBC1_NREP10_tag35_A2,Miseq
RNBC1_NREP10_tag35_A3,Miseq
RNBC1_NREP10_tag35_A4,Miseq
RNBC1_NREP10_tag35_A5,Miseq
RNBC1_NREP10_tag35_A6,Miseq
RNBC1_NREP10_tag35_A7,Miseq
RNBC1_NREP10_tag35_A8,Miseq
RNBC1_NREP10_tag35_A9,Miseq
RNBC1_NREP10_tag35_B10,Miseq
RNBC1_NREP10_tag35_B11,Miseq
RNBC1_NREP10_tag35_B12,Miseq
RNBC1_NREP10_tag35_B1,Miseq
RNBC1_NREP10_tag35_B2,Miseq
RNBC1_NREP10_tag35_B3,Miseq
RNBC1_NREP10_tag35_B4,Miseq
RNBC1_NREP10_tag35_B5,Miseq
RNBC1_NREP10_tag35_B6,Miseq
RNBC1_NREP10_tag35_B7,Miseq
RNBC1_NREP10_tag35_B8,Miseq
RNBC1_NREP10_tag35_B9,Miseq
RNBC1_NREP10_tag35_C10,Miseq
RNBC1_NREP10_tag35_C11,Miseq
RNBC1_NREP10_tag35_C12,Miseq
RNBC1_NREP10_tag35_C1,Miseq
RNBC1_NREP10_tag35_C2,Miseq
RNBC1_NREP10_tag35_C3,Miseq
RNBC1_NREP10_tag35_C4,Miseq
RNBC1_NREP10_tag35_C5,Miseq
RNBC1_NREP10_tag35_C6,Miseq
RNBC1_NREP10_tag35_C7,Miseq
RNBC1_NREP10_tag35_C8,Miseq
RNBC1_NREP10_tag35_C9,Miseq
RNBC1_NREP10_tag35_D10,Miseq
RNBC1_NREP10_tag35_D11,Miseq
RNBC1_NREP10_tag35_D12,Miseq
RNBC1_NREP10_tag35_D1,Miseq
RNBC1_NREP10_tag35_D2,Miseq
RNBC1_NREP10_tag35_D3,Miseq
RNBC1_NREP10_tag35_D4,Miseq
RNBC1_NREP10_tag35_D5,Miseq
RNBC1_NREP10_tag35_D6,Miseq
RNBC1_NREP10_tag35_D7,Miseq
RNBC1_NREP10_tag35_D8,Miseq
RNBC1_NREP10_tag35_D9,Miseq
RNBC1_NREP10_tag35_E10,Miseq
RNBC1_NREP10_tag35_E11,Miseq
RNBC1_NREP10_tag35_E12,Miseq
RNBC1_NREP10_tag35_E1,Miseq
RNBC1_NREP10_tag35_E2,Miseq
RNBC1_NREP10_tag35_E3,Miseq
RNBC1_NREP10_tag35_E4,Miseq
RNBC1_NREP10_tag35_E5,Miseq
RNBC1_NREP10_tag35_E6,Miseq
RNBC1_NREP10_tag35_E7,Miseq
RNBC1_NREP10_tag35_E8,Miseq
RNBC1_NREP10_tag35_E9,Miseq
RNBC1_NREP10_tag35_F10,Miseq
RNBC1_NREP10_tag35_F11,Miseq
RNBC1_NREP10_tag35_F12,Miseq
RNBC1_NREP10_tag35_F1,Miseq
RNBC1_NREP10_tag35_F2,Miseq
RNBC1_NREP10_tag35_F3,Miseq
RNBC1_NREP10_tag35_F4,Miseq
RNBC1_NREP10_tag35_F5,Miseq
RNBC1_NREP10_tag35_F6,Miseq
RNBC1_NREP10_tag35_F7,Miseq
RNBC1_NREP10_tag35_F8,Miseq
RNBC1_NREP10_tag35_F9,Miseq
RNBC1_NREP10_tag35_G10,Miseq
RNBC1_NREP10_tag35_G11,Miseq
RNBC1_NREP10_tag35_G12,Miseq
RNBC1_NREP10_tag35_G1,Miseq
RNBC1_NREP10_tag35_G2,Miseq
RNBC1_NREP10_tag35_G3,Miseq
RNBC1_NREP10_tag35_G4,Miseq
RNBC1_NREP10_tag35_G5,Miseq
RNBC1_NREP10_tag35_G6,Miseq
RNBC1_NREP10_tag35_G7,Miseq
RNBC1_NREP10_tag35_G8,Miseq
RNBC1_NREP10_tag35_G9,Miseq
RNBC1_NREP10_tag35_H10,Miseq
RNBC1_NREP10_tag35_H11,Miseq
RNBC1_NREP10_tag35_H12,Miseq
RNBC1_NREP10_tag35_H1,Miseq
RNBC1_NREP10_tag35_H2,Miseq
RNBC1_NREP10_tag35_H3,Miseq
RNBC1_NREP10_tag35_H4,Miseq
RNBC1_NREP10_tag35_H5,Miseq
RNBC1_NREP10_tag35_H6,Miseq
RNBC1_NREP10_tag35_H7,Miseq
RNBC1_NREP10_tag35_H8,Miseq
RNBC1_NREP10_tag35_H9,Miseq
RNBC1_NREP11_tag36_A10,Miseq
RNBC1_NREP11_tag36_A11,Miseq
RNBC1_NREP11_tag36_A12,Miseq
RNBC1_NREP11_tag36_A1,Miseq
RNBC1_NREP11_tag36_A2,Miseq
RNBC1_NREP11_tag36_A3,Miseq
RNBC1_NREP11_tag36_A4,Miseq
RNBC1_NREP11_tag36_A5,Miseq
RNBC1_NREP11_tag36_A6,Miseq
RNBC1_NREP11_tag36_A7,Miseq
RNBC1_NREP11_tag36_A8,Miseq
RNBC1_NREP11_tag36_A9,Miseq
RNBC1_NREP11_tag36_B10,Miseq
RNBC1_NREP11_tag36_B12,Miseq
RNBC1_NREP11_tag36_B1,Miseq
RNBC1_NREP11_tag36_B2,Miseq
RNBC1_NREP11_tag36_B3,Miseq
RNBC1_NREP11_tag36_B4,Miseq
