,reads,uniqs,uniqs_in_bef_OTU,bef_OTU,uniqs_in_aft_OTU,aft_OTU,Got_a_OTU,Got_both,Got_nor,master_OTU
RNBC1_QLMSP4_tag11_H7,723,106,106,11,9,5,106,9,0,11
RNBC1_QLMSP4_tag11_H8,1458,343,343,7,2,2,343,2,0,7
RNBC1_QLMSP4_tag11_H9,2886,326,326,14,2,2,326,2,0,14
RNBC1_QLMSP5_tag03_A10,637,62,62,6,2,2,62,2,0,6
RNBC1_QLMSP5_tag03_A12,742,62,62,4,1,1,62,1,0,4
RNBC1_QLMSP5_tag03_A1,155,8,8,3,0,0,8,0,0,3
RNBC1_QLMSP5_tag03_A3,32,25,25,7,1,1,25,1,0,7
RNBC1_QLMSP5_tag03_A6,1454,126,126,4,2,2,126,2,0,4
RNBC1_QLMSP5_tag03_A5,1,1,1,1,1,1,1,1,0,1
RNBC1_QLMSP5_tag03_A7,44,7,7,5,1,1,7,1,0,5
RNBC1_QLMSP5_tag03_A9,34,5,5,3,1,1,5,1,0,3
RNBC1_QLMSP5_tag03_B10,440,58,58,5,6,2,58,6,0,5
RNBC1_QLMSP5_tag03_B11,500,29,29,1,1,1,29,1,0,1
RNBC1_QLMSP5_tag03_B12,138,15,15,4,0,0,15,0,0,4
RNBC1_QLMSP5_tag03_B1,28,7,7,6,1,1,7,1,0,6
RNBC1_QLMSP5_tag03_B3,519,38,38,10,3,2,38,3,0,10
RNBC1_QLMSP5_tag03_B5,186,14,14,3,3,1,14,3,0,3
RNBC1_QLMSP5_tag03_B6,234,16,16,6,2,2,16,2,0,6
RNBC1_QLMSP5_tag03_B7,1089,123,123,1,1,1,123,1,0,1
RNBC1_QLMSP5_tag03_B8,209,118,118,5,3,2,118,3,0,5
RNBC1_QLMSP5_tag03_B9,348,37,37,3,1,1,37,1,0,3
RNBC1_QLMSP5_tag03_C10,1565,171,171,6,17,3,171,17,0,6
RNBC1_QLMSP5_tag03_C12,392,59,59,5,1,1,59,1,0,5
RNBC1_QLMSP5_tag03_C1,482,40,40,2,1,1,40,1,0,2
RNBC1_QLMSP5_tag03_C2,625,54,54,6,0,0,54,0,0,6
RNBC1_QLMSP5_tag03_C3,427,63,63,5,1,1,63,1,0,5
RNBC1_QLMSP5_tag03_C4,172,33,33,2,2,2,33,2,0,2
RNBC1_QLMSP5_tag03_C5,461,114,114,2,1,1,114,1,0,2
RNBC1_QLMSP5_tag03_C6,493,39,39,3,1,1,39,1,0,3
RNBC1_QLMSP5_tag03_C7,105,12,12,5,3,2,12,3,0,5
RNBC1_QLMSP5_tag03_C8,14,5,5,2,0,0,5,0,0,2
RNBC1_QLMSP5_tag03_C9,582,63,63,4,1,1,63,1,0,4
RNBC1_QLMSP5_tag03_D10,5,2,2,2,1,1,2,1,0,2
RNBC1_QLMSP5_tag03_D11,472,50,50,1,1,1,50,1,0,1
RNBC1_QLMSP5_tag03_D12,173,35,35,11,2,2,35,2,0,11
RNBC1_QLMSP5_tag03_D1,294,27,27,5,2,2,27,2,0,5
RNBC1_QLMSP5_tag03_D2,349,30,30,4,1,1,30,1,0,4
RNBC1_QLMSP5_tag03_D3,148,7,7,3,1,1,7,1,0,3
RNBC1_QLMSP5_tag03_D4,332,33,33,6,0,0,33,0,0,6
RNBC1_QLMSP5_tag03_D5,781,102,102,8,4,1,102,4,0,8
RNBC1_QLMSP5_tag03_D6,763,78,78,3,1,1,78,1,0,3
RNBC1_QLMSP5_tag03_D7,704,142,142,1,1,1,142,1,0,1
RNBC1_QLMSP5_tag03_D8,149,13,13,3,2,2,13,2,0,3
RNBC1_QLMSP5_tag03_D9,78,10,10,6,2,2,10,2,0,6
RNBC1_QLMSP5_tag03_E10,192,17,17,8,0,0,17,0,0,8
RNBC1_QLMSP5_tag03_E11,283,45,45,8,4,2,45,4,0,8
RNBC1_QLMSP5_tag03_E12,159,14,14,5,5,2,14,5,0,5
RNBC1_QLMSP5_tag03_E1,339,23,23,2,2,1,23,2,0,2
RNBC1_QLMSP5_tag03_E2,86,48,48,7,0,0,48,0,0,7
RNBC1_QLMSP5_tag03_E3,173,112,112,28,2,2,112,2,0,28
RNBC1_QLMSP5_tag03_E4,61,15,15,2,2,1,15,2,0,2
RNBC1_QLMSP5_tag03_E5,390,31,31,3,1,1,31,1,0,3
RNBC1_QLMSP5_tag03_E6,213,25,25,3,3,1,25,3,0,3
RNBC1_QLMSP5_tag03_E7,215,19,19,3,0,0,19,0,0,3
RNBC1_QLMSP5_tag03_E9,384,90,90,1,1,1,90,1,0,1
RNBC1_QLMSP5_tag03_F11,425,133,133,3,3,1,133,3,0,3
RNBC1_QLMSP5_tag03_F12,561,55,55,3,0,0,55,0,0,3
RNBC1_QLMSP5_tag03_F2,31,19,19,5,0,0,19,0,0,5
RNBC1_QLMSP5_tag03_F3,76,15,15,2,1,1,15,1,0,2
RNBC1_QLMSP5_tag03_F4,18,13,13,3,0,0,13,0,0,3
RNBC1_QLMSP5_tag03_F5,353,48,48,13,8,2,48,8,0,13
RNBC1_QLMSP5_tag03_F7,93,6,6,5,1,1,6,1,0,5
RNBC1_QLMSP5_tag03_F8,263,25,25,6,2,2,25,2,0,6
RNBC1_QLMSP5_tag03_F9,313,46,46,3,0,0,46,0,0,3
RNBC1_QLMSP5_tag03_G11,1164,151,151,4,3,3,151,3,0,4
RNBC1_QLMSP5_tag03_G12,308,29,29,9,2,2,29,2,0,10
RNBC1_QLMSP5_tag03_G1,474,95,95,6,6,1,95,6,0,6
RNBC1_QLMSP5_tag03_G2,486,69,69,10,4,2,69,4,0,10
RNBC1_QLMSP5_tag03_G3,80,22,22,6,3,2,22,3,0,6
RNBC1_QLMSP5_tag03_G4,777,65,65,3,1,1,65,1,0,3
RNBC1_QLMSP5_tag03_G5,471,58,58,3,1,1,58,1,0,3
RNBC1_QLMSP5_tag03_G6,68,6,6,3,2,2,6,2,0,3
RNBC1_QLMSP5_tag03_G7,633,54,54,1,1,1,54,1,0,1
RNBC1_QLMSP5_tag03_G8,598,93,93,5,6,2,93,6,0,5
RNBC1_QLMSP5_tag03_G9,482,70,70,6,2,1,70,2,0,6
RNBC1_QLMSP5_tag03_H11,118,26,26,10,3,2,26,3,0,10
RNBC1_QLMSP5_tag03_H1,631,57,57,2,0,0,57,0,0,2
RNBC1_QLMSP5_tag03_H2,392,94,94,4,0,0,94,0,0,4
RNBC1_QLMSP5_tag03_H3,106,13,13,6,1,1,13,1,0,6
RNBC1_QLMSP5_tag03_H4,7,2,2,1,1,1,2,1,0,1
RNBC1_QLMSP5_tag03_H7,397,57,57,8,12,3,57,12,0,8
RNBC1_QLMSP5_tag03_H8,143,19,19,7,0,0,19,0,0,7
RNBC1_QLMSP5_tag03_H9,352,45,45,5,0,0,45,0,0,5
RNBC1_QLMSP6_tag05_A10,100,16,16,4,3,3,16,3,0,4
RNBC1_QLMSP6_tag05_A12,4267,472,472,33,26,8,472,26,0,34
RNBC1_QLMSP6_tag05_A2,2264,218,218,4,8,2,218,8,0,4
RNBC1_QLMSP6_tag05_A5,262,18,18,6,2,2,18,2,0,6
RNBC1_QLMSP6_tag05_A6,828,74,74,18,12,5,74,12,0,18
RNBC1_QLMSP6_tag05_A7,3724,537,537,6,6,2,537,6,0,6
RNBC1_QLMSP6_tag05_A8,2582,552,552,30,17,9,552,17,0,30
RNBC1_QLMSP6_tag05_B10,734,60,60,9,8,6,60,8,0,9
RNBC1_QLMSP6_tag05_B2,2716,261,261,5,6,2,261,6,0,5
RNBC1_QLMSP6_tag05_B3,3014,522,522,7,4,3,522,4,0,7
RNBC1_QLMSP6_tag05_B4,1035,306,306,8,4,3,306,4,0,8
RNBC1_QLMSP6_tag05_B5,332,37,37,10,7,3,37,7,0,10
RNBC1_QLMSP6_tag05_B6,91,31,31,15,11,5,31,11,0,15
RNBC1_QLMSP6_tag05_B8,1318,361,361,10,12,4,361,12,0,10
RNBC1_QLMSP6_tag05_C1,535,67,67,15,9,4,67,9,0,15
RNBC1_QLMSP6_tag05_C2,1393,289,289,6,11,4,289,11,0,6
RNBC1_QLMSP6_tag05_C3,3409,574,574,7,4,2,574,4,0,7
RNBC1_QLMSP6_tag05_C4,257,63,63,4,2,2,63,2,0,4
RNBC1_QLMSP6_tag05_C5,371,31,31,4,2,2,31,2,0,4
RNBC1_QLMSP6_tag05_C6,1141,245,245,19,8,3,245,8,0,19
RNBC1_QLMSP6_tag05_C8,1072,297,297,5,9,3,297,9,0,5
RNBC1_QLMSP6_tag05_D12,2161,452,452,10,12,2,452,12,0,10
RNBC1_QLMSP6_tag05_D1,377,52,52,19,7,4,52,7,0,19
RNBC1_QLMSP6_tag05_D2,2558,483,483,10,10,4,483,10,0,10
RNBC1_QLMSP6_tag05_D4,42,12,12,6,2,2,12,2,0,6
RNBC1_QLMSP6_tag05_D5,1413,121,121,15,6,6,121,6,0,15
RNBC1_QLMSP6_tag05_D7,5054,728,728,13,12,3,728,12,0,13
RNBC1_QLMSP6_tag05_D8,2079,422,422,9,9,4,422,9,0,9
RNBC1_QLMSP6_tag05_E10,2265,318,318,23,13,6,318,13,0,23
RNBC1_QLMSP6_tag05_E11,1850,197,197,13,9,4,197,9,0,13
RNBC1_QLMSP6_tag05_E12,3102,533,533,12,12,1,533,12,0,12
RNBC1_QLMSP6_tag05_E2,2463,467,467,8,11,2,467,11,0,8
RNBC1_QLMSP6_tag05_E3,3314,583,583,7,8,3,583,8,0,7
